Key,English [en-GB]
382_T_2,All enemies adjacent to this trap suffer 2 damage when the trap is sprung.
382_T_3,Gain <sprite name=XP2> when the trap is sprung by an enemy.
383_B,"When this enemy dies, force all enemies adjacent to it to perform a “<nobr>Move <sprite name=Move> 1</nobr>” action with you controlling the actions."
383_T,"The next three times a <nobr><b><color=#39BEED>Doomed</color> <sprite name=Doom></b></nobr> enemy dies within <nobr>Range <sprite name=Range> 2</nobr> of another enemy, transfer one <nobr><b><color=#39BEED>Doom</color> <sprite name=Doom></b></nobr> to that enemy instead of discarding it."
384_T,Create one 2 damage <nobr>IMMOBILIZE <sprite name=Immobilize></nobr> trap in an adjacent empty hex.
387_T,Add <nobr>+2 Attack <sprite name=Attack></nobr> and gain <sprite name=XP1> if the target is <nobr><b><color=#39BEED>Doomed</color> <sprite name=Doom></b></nobr>.
388_B,"Each time this enemy suffers damage, perform a “<nobr>Heal <sprite name=Heal> 2</nobr>, Self“ action."
389_B,All summoned allies add <nobr>+2 Attack <sprite name=Attack></nobr> to all their attacks targeting this enemy.
390_T,Add <nobr>+2 Attack <sprite name=Attack></nobr> and gain <sprite name=XP1> if the target is undamaged.
391_B,You and all allies gain <nobr>PIERCE <sprite name=Pierce> 2</nobr> on all your attacks targeting this enemy.
391_T_1,You gain Advantage on one attack each turn targeting a <nobr><b><color=#39BEED>Doomed</color> <sprite name=Doom></b></nobr> enemy.
391_T_2,All enemies lose <nobr>INVISIBLE <sprite name=Invisible></nobr> and may no longer gain <nobr>INVISIBLE <sprite name=Invisible></nobr>.
392_B,Add <nobr>+2 Attack <sprite name=Attack></nobr> to all your attacks targeting <nobr><b><color=#39BEED>Doomed</color> <sprite name=Doom></b></nobr> enemies this round.
393_B,"When this enemy dies, perform an “<nobr>Attack <sprite name=Attack> 2</nobr>, <nobr>Range <sprite name=Range> 3</nobr>, <nobr>Target <sprite name=Target> 3</nobr>” action"
394_T,Add <nobr>+3 Attack <sprite name=Attack></nobr> and gain <sprite name=XP1> if the target is <nobr><b><color=#39BEED>Doomed</color> <sprite name=Doom></b></nobr>.
395_B,You and all allies gain Advantage on all your attacks targeting this enemy.
396_T_1,Create one 2 damage <nobr>WOUND <sprite name=Wound></nobr> trap in an adjacent empty hex.
396_T_2,<nobr>WOUND <sprite name=Wound></nobr> all enemies adjacent to this trap when the trap is sprung.
397_B,"At the start of your next three turns, advance the tracker on this effect. After it advances three times, kill the target and discard this card."
397_B_Reminder,Mark any one normal or elite enemy as <b><color=#39BEED>Doomed</color>.
397_T_1,You may have two <nobr><b><color=#39BEED>Dooms</color> <sprite name=Doom></b></nobr> active on the same target.
397_T_2,"If a third <nobr><b><color=#39BEED>Doom</color> <sprite name=Doom></b></nobr> is played on the same target, discard one of the others, or if a third <nobr><b><color=#39BEED>Doom</color> <sprite name=Doom></b></nobr> is played on a different target, discard both of the others."
398_B,Target one <nobr><b><color=#39BEED>Doomed</color> <sprite name=Doom></b></nobr> enemy at any range
399_B,"When this enemy dies, you and all allies perform a “<nobr>Heal <sprite name=Heal> 2</nobr>, Self“ action."
401_B,Add +3 Attack to all your attacks targeting <nobr><b><color=#39BEED>Doomed</color> <sprite name=Doom></b></nobr> enemies this round.
401_T,Kill the target and gain <sprite name=XP1> if its hit point value is less than or equal to 2 after the attack.
402_B,You and all allies apply CURSE on all your attacks targeting this enemy.
403_B,"If this enemy dies within <nobr>Range <sprite name=Range> 2</nobr> of another enemy, transfer this and any other <nobr><b><color=#39BEED>Doom</color> <sprite name=Doom></b></nobr> effects to that enemy instead of discarding them."
405_B,"You and all allies add <nobr>+X Attack <sprite name=Attack></nobr> to all your attacks targeting this enemy, where X is the difference between the range of the attack and the number of hexes to the enemy."
406_B,Transfer all active <nobr><b><color=#39BEED>Doom</color> <sprite name=Doom></b></nobr> effects from their current target to one enemy within <nobr>Range <sprite name=Range> 4</nobr> of you.
406_T,Force the target to move up to three hexes directly toward the closest hex adjacent to one of its enemies.
407_T,Give one adjacent ally one “<nobr>Medical Pack</nobr>” ability card.
408_B,All your Heal actions this round affect you and all adjacent allies.
409_B,All your melee attacks this round target all adjacent enemies.
410_B,Place this card in one adjacent ally's active area and treat it as if they own the card.
412_B,Remove all negative conditions on one adjacent ally.
412_T,Remove all negative conditions on the healed target.
414_B,You and all allies are immune to all negative conditions this round.
414_T,Give one adjacent ally one “Large Medical Pack” ability card.
415_T,"Once during each of your next four turns, perform a “Heal 2, Range 1” action."
416_T,"At the start of each of your turns, remove one negative condition from any one of your allies."
429_B,All adjacent allies may perform a “<nobr>Move <sprite name=Move> 2</nobr>” action.
429_T,You and all adjacent allies may <nobr>Recover <sprite name=Recover></nobr> an amount of discarded cards up to the number of allies adjacent to you.
433_B,"At the start of each of your turns, perform a “<nobr>Heal <sprite name=Heal> 1</nobr>, Self” action."
437_T,Remove all negative conditions on all adjacent allies.
439_T,Kill one adjacent normal enemy with at least two negative conditions.
440_B,Give all adjacent allies one “Large Medical Pack” ability card.
440_T,Give all adjacent allies one “<nobr>Medical Pack</nobr>” ability card.
441_B,Add <nobr>+4 Heal <sprite name=Heal></nobr> to all your Heal actions this round.
441_T,"Before your next six Heal abilities, remove all negative conditions on the Heal targets."
443_B,One adjacent ally may <nobr>Recover <sprite name=Recover></nobr> up to two of their discarded cards.
443_T,Remove all negative conditions on the healed target and give them one “Large Medical Pack” ability card.
445_T_1,All of your <nobr>Attack <sprite name=Attack></nobr> and <nobr>Move <sprite name=Move></nobr> abilities may be performed as <nobr>Heal <sprite name=Heal></nobr> abilities of an equal value plus one.
445_T_2,"In such cases, the <nobr>Range <sprite name=Range></nobr> is 1 unless otherwise specified, and ignore all conditions applied by the <nobr>Attack <sprite name=Attack></nobr> abilities."
446_T,Kill all normal or elite enemies in the targeted area suffering from 10 or more damage.
449_B,"Once during each of your Attack actions, you may <sprite name=ConsumeAny> to add +1 Attack <sprite name=Attack> to the entire Attack action."
450_B_1,"<line-height=100%>At the end of each of your turns, you may generate <voffset=-3><size=150%><sprite name=Any></size></voffset>."
450_B_2,Deduct -1 Attack <sprite name=Attack> from all your attacks.
459_B,All attacks targeting you gain Disadvantage this round.
463_T_1,"Attack <sprite name=Attack> X-1 on a new enemy within <nobr>Range <sprite name=Range> 2</nobr> of the first target, then Attack <sprite name=Attack> X-2 on a third enemy within <nobr>Range <sprite name=Range> 2</nobr> of the second target"
463_T_2,Attack <sprite name=Attack> X-3 on a fourth enemy within <nobr>Range <sprite name=Range> 2</nobr> of the third target
468_T,Target all enemies within <nobr>Range <sprite name=Range> 2</nobr> of the healed character.
469_B_1,Summon Doppelganger
469_B_2,You may perform Attack actions as if you occupy the summon's hex.
470_T,"Kill all normal <nobr>targets instead, <sprite name=XP1></nobr>."
471_T,The healed character may Recover <sprite name=Recover> one of their discarded cards.
472_B_1,"<nobr>+2 Move <sprite name=Move>, WOUND <sprite name=Wound></nobr> <nobr>all enemies moved through, <sprite name=XP1></nobr>"
472_B_2,"<nobr>+2 Move <sprite name=Move>, IMMOBILIZE <sprite name=Immobilize></nobr> <nobr>all enemies moved through, <sprite name=XP1></nobr>"
472_T,"Once per action, if you consume an element during the action, you may cause one enemy within <nobr>Range <sprite name=Range> 2</nobr> to suffer 1 damage or you may perform a <nobr>""Heal <sprite name=Heal> 1, Range <sprite name=Range> 2""</nobr> action."
474_B,Perform any of the following abilities:
474_T,Summon Mana Sphere
477_B,Swap the positions of any two characters.
478_B,Swap the positions of any two enemies.
481_B_1,"Before your bear acts, you may forgo the top action of your turn to add <nobr>+3 Attack <sprite name=Attack></nobr> to all your bear’s attacks this round."
481_B_2,"Before your bear acts, you may forgo the bottom action of your turn to add <nobr>+3 Move <sprite name=Move></nobr> to all your bear’s moves this round."
489_B_1,Redistribute all damage taken by you and all summoned allies however you like.
489_B_2,No character may end with more damage than their maximum hit point value.
495_B,Add <nobr>+1 Attack <sprite name=Attack></nobr> to all your <nobr><color=#BF9C8B>Commands</color> <sprite name=Command></nobr> this round.
496_B,Any one summoned ally performs
498_B,Swap positions with your bear.
499_T,"After your bear's next five attacks, it performs a <nobr>""Heal <sprite name=Heal> 2, Self""</nobr> action."
501_B,All summoned allies within <nobr>Range <sprite name=Range> 3</nobr> perform
504_T,Kill one adjacent normal enemy whose current hit point value is less than or equal to 6.
505_B,Recover <sprite name=Recover> up to two of your burned cards with Summon actions on them.
505_T,All adjacent allies add <nobr>+2 Attack <sprite name=Attack></nobr> to all their attacks.
538,Create a 3 damage trap in an adjacent empty hex closest to an enemy.
542,Add <nobr>+2 Attack <sprite name=Attack> </nobr>if the target is adjacent to any of the Hound’s allies.
569,Living Corpse suffers *Damage1* damage.
609,Cultist suffers *Damage1* damage.
627,Frost Demon suffers *CFireDamage* damage.
633,Flame Demon suffers *CIceDamage* damage.
634,All adjacent enemies suffer 2 damage.
635,Create a 4 damage trap in an adjacent empty hex closest to an enemy.
636,Target all enemies within Range <sprite name=Range> 3
667,All adjacent enemies and allies suffer *Damage1* damage.
684,Add <nobr>+2 Attack <sprite name=Attack></nobr> if the target is adjacent to any of the Giant Viper's allies.
689,All attacks targeting Giant Viper this round gain Disadvantage.
697_A,Ooze suffers *Damage2* damage.
697_B,Summon normal Ooze with a hit point value equal to the summoning Ooze’s current hit point value (limited by a normal Ooze’s specified maximum hit point value)
738,Summon normal Deep Terror in a hex adjacent to the target
741,Stone Golem suffers *Damage1* damage.
744,Stone Golem suffers *Damage2* damage.
ABILITY_CARD_AMomentsPeace,A Moment's Peace
ABILITY_CARD_AcceleratedEnd,Accelerated End
ABILITY_CARD_AidFromtheAether,Aid From the Ether
ABILITY_CARD_AirborneToxin,Airborne Toxin
ABILITY_CARD_Amputate,Amputate
ABILITY_CARD_AncientWard,Ancient Ward
ABILITY_CARD_AngelicAscension,Angelic Ascension
ABILITY_CARD_AngelofDeath,Angel of Death
ABILITY_CARD_ArmoroftheNight,Armor of the Night
ABILITY_CARD_AutoTurret,Auto Turret
ABILITY_CARD_Avalanche,Avalanche
ABILITY_CARD_Backstab,Backstab
ABILITY_CARD_BackupAmmunition,Backup Ammunition
ABILITY_CARD_BagofHolding,Bag of Holding
ABILITY_CARD_BalancedMeasure,Balanced Measure
ABILITY_CARD_BanefulHex,Baneful Hex
ABILITY_CARD_BattlefieldMedicine,Battlefield Medicine
ABILITY_CARD_BeaconofLight,Beacon of Light
ABILITY_CARD_BedsideManner,Bedside Manner
ABILITY_CARD_BitingGnats,Biting Gnats
ABILITY_CARD_BitingWind,Biting Wind
ABILITY_CARD_BlackArrow,Black Arrow
ABILITY_CARD_BlackFire,Black Fire
ABILITY_CARD_BlackHole,Black Hole
ABILITY_CARD_BlackKnives,Black Knives
ABILITY_CARD_BlackTides,Black Tides
ABILITY_CARD_BladedBoomerang,Bladed Boomerang
ABILITY_CARD_BlindDestruction,Blind Destruction
ABILITY_CARD_BlisteringVortex,Blistering Vortex
ABILITY_CARD_BloodHunger,Blood Hunger
ABILITY_CARD_BloodPact,Blood Pact
ABILITY_CARD_BloodTransfusion,Blood Transfusion
ABILITY_CARD_BloodySaw,Bloody Saw
ABILITY_CARD_BluntForce,Blunt Force
ABILITY_CARD_BoilingArc,Boiling Arc
ABILITY_CARD_BondedMight,Bonded Might
ABILITY_CARD_BoneBreaker,Bone Breaker
ABILITY_CARD_BoomingProclamation,Booming Proclamation
ABILITY_CARD_BoosterShot,Booster Shot
ABILITY_CARD_BorrowedEssence,Borrowed Essence
ABILITY_CARD_BounceBack,Bounce Back
ABILITY_CARD_BrainLeech,Brain Leech
ABILITY_CARD_BreaktheChains,Break the Chains
ABILITY_CARD_BrightAegis,Bright Aegis
ABILITY_CARD_BrilliantFlash,Brilliant Flash
ABILITY_CARD_BrilliantPrayer,Brilliant Prayer
ABILITY_CARD_BrutalMomentum,Brutal Momentum
ABILITY_CARD_BruteForce,Brute Force
ABILITY_CARD_Burial,Burial
ABILITY_CARD_BurningFlash,Burning Flash
ABILITY_CARD_BurningHatred,Burning Hatred
ABILITY_CARD_BurningOil,Burning Oil
ABILITY_CARD_CalltoAction,Call to Action
ABILITY_CARD_Camouflage,Camouflage
ABILITY_CARD_CaptivatingPerformance,Captivating Performance
ABILITY_CARD_CarelessCharge,Careless Charge
ABILITY_CARD_Cataclysm,Cataclysm
ABILITY_CARD_CatastrophicBomb,Catastrophic Bomb
ABILITY_CARD_Cauterize,Cauterize
ABILITY_CARD_CautiousAdvance,Cautious Advance
ABILITY_CARD_ChainLightning,Chain Lightning
ABILITY_CARD_ChangeTempo,Change Tempo
ABILITY_CARD_ChimericFormula,Chimeric Formula
ABILITY_CARD_ChromaticExplosion,Chromatic Explosion
ABILITY_CARD_ClawsoftheNight,Claws of the Night
ABILITY_CARD_CleansingForce,Cleansing Force
ABILITY_CARD_CleartheWay,Clear the Way
ABILITY_CARD_CleavingAxe,Cleaving Axe
ABILITY_CARD_CloakofShade,Cloak of Shade
ABILITY_CARD_ColdFire,Cold Fire
ABILITY_CARD_ColdFront,Cold Front
ABILITY_CARD_CommandingPresence,Commanding Presence
ABILITY_CARD_ConcealedDominance,Concealed Dominance
ABILITY_CARD_ConcentratedRage,Concentrated Rage
