Keys,"Солов'їна [ua-UA]"
ABILITY_CARD_PowerPitch,"Сильний Кидок"
ABILITY_CARD_FollowThrough,"Завершальний Удар"
ABILITY_CARD_SecondWind,"Друге Дихання"
ABILITY_CARD_CarePackage,"Посилка Турботи"
ABILITY_CARD_ExtraLift,"Додатковий Підйом"
ABILITY_CARD_FancyHat,"Вигадливий Капелюх"
ABILITY_CARD_RepeatShot,"Повторний Постріл"
ABILITY_CARD_Ricochet,"Рикошет"
ABILITY_CARD_FearsomeEfficiency,"Грізна Ефективність"
ABILITY_CARD_SharpenedBlades,"Загострені Леза"
ABILITY_CARD_RippedFromTheFlesh,"Вирваний із Плоті"
ABILITY_CARD_Overwatch,"Нагляд"
ABILITY_CARD_TheNewFavorite,"Новий Фаворит"
ABILITY_CARD_Bombardment,"Бомбардування"
ABILITY_CARD_QuickTurnaround,"Швидкий Поворот"
ABILITY_CARD_ExcessiveForce,"Надмірна Сила"
ABILITY_CARD_Brutalize,"Понівечення"
ABILITY_CARD_Shrapnel,"Шрапнель"
ABILITY_CARD_Camaraderie,"Товариськість"
ABILITY_CARD_ExecutionersAxe,"Сокира Ката"
ABILITY_CARD_HeartSeeker,"Шукач Сердець"
ABILITY_CARD_Windup,"Замах"
ABILITY_CARD_CrushingWeight,"Нищівна Вага"
ABILITY_CARD_KnockOutTheSupport,"Вибити Опору"
ABILITY_CARD_Explode,"Вибух"
ABILITY_CARD_Implode,"Спрямований Вибух"
ABILITY_CARD_PistonPunch,"Поршневий Удар"
ABILITY_CARD_ExplosiveBlitz,"Вибуховий Бліц"
ABILITY_CARD_TheBigOne,"Головний Вибух"
ABILITY_CARD_OneTwoPunch,"Подвійний Удар"
ABILITY_CARD_Rubble,"Уламки"
ABILITY_CARD_Level,"Зрівняти з Землею"
ABILITY_CARD_LobbedCharge,"Навісний Заряд"
ABILITY_CARD_RoboticEnhancement,"Роботизоване Покращення"
ABILITY_CARD_CrashProtocol,"Протокол Збою"
ABILITY_CARD_FireBombs,"Запальні Бомби"
ABILITY_CARD_NowhereToRun,"Нікуди Бігти"
ABILITY_CARD_RemoteDetonation,"Дистанційне Підривання"
ABILITY_CARD_ExtraFuel,"Додаткове Пальне"
ABILITY_CARD_MechSuit,"Екзокостюм"
ABILITY_CARD_DustCloud,"Пилова Хмара"
ABILITY_CARD_DrillFist,"Кулак-Дриль"
ABILITY_CARD_MicroMissiles,"Мікроракети"
ABILITY_CARD_InsultToInjury,"Сіль на Рану"
ABILITY_CARD_GutPunch,"Удар під Дих"
ABILITY_CARD_TheBiggerOne,"Ще Більший Калібр"
ABILITY_CARD_CollateralDamage,"Побічна Шкода"
ABILITY_CARD_WholesaleDestruction,"Масове Руйнування"
item_name_oakcharm,"Дубовий Амулет"
item_oakcharm,"Під час свого ходу виконайте дію <nobr>""Благословення <sprite name=Bless>,</nobr> <nobr>Дальність <sprite name=Range> 5""</nobr>."
item_name_blackcandle,"Чорна Свічка"
item_blackcandle,"Під час вашої дальньої атаки додайте <nobr>ПРОКЛЯТТЯ <sprite name=Curse> до однієї атаки."
item_name_robesofcommand,"Мантія Наказу"
item_robesofcommand,"Під час свого ходу один суміжний союзник може виконати дію <nobr>""Атака <sprite name=Attack> 2</nobr>""."
item_name_barbedaxe,"Шипована Сокира"
item_barbedaxe,"Під час своєї атаки додайте <nobr>РАНУ <sprite name=Wound></nobr> до всієї дії Атаки."
item_name_bladedarmor,"Лезовий Обладунок"
item_bladedarmor,"Зазнавши шкоди від атаки, отримайте <nobr>Щит <sprite name=Shield> 2</nobr> проти цієї атаки, а нападник зазнає 2 Шкоди."
item_name_ringofrestoration,"Кільце Відновлення"
item_ringofrestoration,"Під час свого ходу виконайте дію <nobr>""Лікування <sprite name=Heal> 3,</nobr> <nobr>Дальність <sprite name=Range> 5""</nobr>."
item_name_ringofstrength,"Кільце Сили"
item_ringofstrength,"Під час свого ходу отримайте <nobr>ПОСИЛЕННЯ <sprite name=Strengthen>."
item_name_chainarmor,"Кольчужний Обладунок"
item_chainarmor,"Під час свого ходу отримайте <nobr>Щит <sprite name=Shield> 1</nobr> до кінця раунду."
item_name_throwinghammer,"Метальний Молот"
item_throwinghammer,"Під час вашої дальньої атаки додайте <nobr>ОГЛУШЕННЯ <sprite name=Stun> до однієї атаки."
item_name_jetboots,"Реактивні Черевики"
item_jetboots,"Під час свого руху додайте <nobr>+1 до Руху <sprite name=Move></nobr> та <nobr>Стрибок <sprite name=Jump> </nobr>до одного переміщення."
item_name_weatheredboots,"Поношені Черевики"
item_weatheredboots,"Під час свого руху додайте <nobr>+1 до Руху <sprite name=Move> </nobr>до одного переміщення."
EVENT_ROAD_JOTL_01_INTRO,"Є така приказка: ""Зачепиш Сплячого Лева — отримаєш ножа"". Сьогодні якраз один із тих днів, коли ви заробляєте свою знижку на напої.<br><br>Ви стукаєте у двері Ксайна, Орхіда, який перейшов від запевнень до виправдань. Він відчиняє, і ви даєте йому зрозуміти, що настав час сплатити рахунок.<br><br>""Та ну, він послав вас? Добре, гаразд... проблема в тому, що ви прийшли на день раніше. Мені скоро прийде купа золота, величезний виграш на ставках. Гарантовані гроші"".<br><br>Ви помічаєте зібрані сумки біля порога. Ксайн каже: ""О, це нічого. Це був просто мій план Б, дрібниці. Мені це більше не потрібно. Я купаюся в грошах! Ну, або принаймні буду завтра. Чорт, я навіть готовий щось вам підкинути за затримку""."
EVENT_ROAD_JOTL_01_OPTION_A,"Не ведемося на це. Нехай платить зараз."
EVENT_ROAD_JOTL_01_OPTION_B,"Трохи довіри не завадить. Повернутися завтра."
EVENT_ROAD_JOTL_01_RESULT_A,"Ви витрушуєте з Ксайна все, що він має при собі. Він ниє, що не має золота, але ви збираєте достатньо, щоб покрити більшу частину його боргу. Щоб компенсувати різницю, ви прихоплюєте дрібничку на виході. Вона може стати в пригоді, або ви зможете просто закласти її, щоб виручити трохи грошей на випивку."
EVENT_ROAD_JOTL_01_RESULT_B,"Наступного дня ви заходите до Сплячого Лева й бачите, що Ксайн уже чекає на вас. На ньому красується набір масивних золотих перснів, а на шиї низько висить показне намисто, виблискуючи на світлі.<br><br>""Друзі! Ха-ха! Ласкаво просимо, випивка за мій рахунок! Казав же вам, що буду купатися в грошах! О, і невеличкі чайові за вашу довіру..."""
EVENT_ROAD_JOTL_02_INTRO,"Довгий час ви носили свою білизну до Савваса біля річки в Окрузі Терезів. Але після вашої останньої битви з гігантськими гадюками Саввас відмовився приймати ваші речі, побоюючись того, де закінчується кров і починається отрута. Останнім часом ви носите білизну до кремезного Куатрила, який керує автоматичною пральнею. Його не хвилює стан речей, які ви приносите, і він не ставить жодних запитань про те, як вони докотилися до такого стану.<br><br>""Знову привіт!"" — кричить він із зубастою усмішкою, коли ви заходите. Але потім, помітивши ніякові погляди своїх витонченіших клієнтів при виді отрути, що капає з ваших обладунків на підлогу, додає: ""...ем, себто, вперше бачимося. Чим можу допомогти?"""
